86
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.0006635234918332826
9,0.0006635234926664289
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0.208060230292294
23,0.9338795394154121
24,0.208060230292294
25,0.02
26,0.02
27,0.02
28,0.02
29,0.07749999999999999
30,0.07749999999999999
31,0.07749999999999999
32,0.07749999999999999
33,0.07749999999999999
34,0.07749999999999999
35,0.07749999999999999
36,0.07749999999999999
37,0.07749999999999999
38,0
39,0.01948573514588163
40,0.002272391069463225
41,0.01832506849636932
42,0.006276020173308096
43,6.558104235848774e-005
44,2.946704434772618e-005
45,3.420497096044699e-005
46,0.002647352967947531
47,0.003110377627033091
48,1.540924954787787e-005
49,1.252618586690552
50,9.94230308848203e-005
51,3.570703500113159
52,3.549283443843054e-005
53,5.04335245623987e-005
54,4.295003657460867
55,4.32
56,0.3454049432349858
57,0.01047081312056175
58,0.00500543410031909
59,0.005090718133625059
60,1.492144771561675e-006
61,1.492144771561675e-006
62,1.492144771561675e-006
63,1.492144771561675e-006
64,1.492144771561675e-006
65,1.492144771561675e-006
66,0
67,1.492144771561675e-006
68,0
69,0.001638486976129872
70,0.001635872804735096
71,0.001871156092635353
72,0.001864444208210396
73,0.001858768261888505
74,0.001859370728797031
75,0.001840395166828981
76,0.001840395166861626
77,0.001840395169104239
78,0.001835294556817747
79,0.00184023734563022
80,0.001840237346579035
81,0
82,0.001871369535025381
83,0
84,0.001835786459025858
85,0.001836613027492241
